Formation,Plate_ID,Terrane,AgeUpper,AgeLower,AgeNominal,Q,N(n),Dec,Inc,a95,A95,Block,k,CPlat,CPlon,SLat,SLon,PLat,PLon,Reference,Comment
West Eifel volcanics,302,Stable Europe,1,0,0.5,4,,,,,3.6,,,,,50.2,6.7,-80.6,267.5,"1513,  T",refs from Torsvik+12
East Eifel volcanics,302,Stable Europe,1,0,0.5,4,,,,,4.4,,,,,50.4,7.3,-86.4,296.1,"1505,  T",refs from Torsvik+12
Volcanics  NW Germany,302,Stable Europe,10,6,8,3,,,,,12.9,,,,,48,9,-84.3,357.7,"56, T",refs from Torsvik+12
"Prado  section, Teruel,  Spain",302,Stable Europe,11,8,9.5,5,,,,,1.8,,,,,40.3,358.8,-78.9,328.3,Abels et al. (2009),refs from Torsvik+12
"Cascante, Spain",302,Stable Europe,11,9,10,5,,,,,3.5,,,,,40.2,358.9,-77.4,314.2,Abdul Aziz et al. (2004),refs from Torsvik+12
Velay Oriental volcanics,302,Stable Europe,14,9,11.5,5,,,,,6.9,,,,,45,4.2,-84.1,351.2,"3324,  T",refs from Torsvik+12
"Orera,  Spain",302,Stable Europe,12.8,10.7,12,5,,,,,1.5,,,,,41.3,358.5,-72.4,352,Abdul Aziz et al. (2000),refs from Torsvik+12
Volcanics  Germany,302,Stable Europe,30,18,24,4,,,,,4.4,,,,,50.8,8,-77.8,310.8,"3282,  T",refs from Torsvik+12
Hocheifel volcanics,302,Stable Europe,45,23,34,3,,,,,3.4,,,,,50.3,7,-80.8,2,"1506,  T",refs from Torsvik+12
"Lundy island dikes,  Wales",302,Stable Europe,54,45,49.5,5,,,,,1.5,,,,,51.2,355.3,-83,335,755,refs from Torsvik+12
"Sleat dikes,  Scotland",302,Stable Europe,60,44,52,4,,,,,1.5,,,,,57.1,354.1,-82.5,338,"1174,  T",refs from Torsvik+12
Faeroe  妎od  volcanics,302,Stable Europe,58,55,56.5,6,,,,,4.5,,,,,61.8,353.1,-71.4,334.7,"3494,  T",refs from Torsvik+12
Muck and  Eigg igneous,302,Stable Europe,63,53,58,5,,,,,2.7,,,,,56.9,353.8,-74,351,"1204,  T",refs from Torsvik+12
"Vaternish dyke  swarm, Scotland",302,Stable Europe,65,52,58.5,5,,,,,3.5,,,,,57.6,353.4,-76,340,"85, T",refs from Torsvik+12
"Rhum  and  Canna  igneous, Scotland",302,Stable Europe,60,58,59,6,,,,,2.4,,,,,57,353.5,-81,359,"1169,  T",refs from Torsvik+12
"Mull lavas, Scotland",302,Stable Europe,60,58,59,6,,,,,6.1,,,,,56.4,353.9,-73.3,346.2,Ganer蒸d et al. (2008),refs from Torsvik+12
"Arran  dikes,  Scotland",302,Stable Europe,60,50,59.4,5,,,,,1.2,,,,,55.6,354.8,-81.7,359.8,"1041,  T",refs from Torsvik+12
Arran  intrusives and  extrusives,302,Stable Europe,61,58,59.5,5,,,,,2.8,,,,,55.5,354.8,-80.2,339.6,6090 (3433),refs from Torsvik+12
"Ardnamurchan complex, Scotland",302,Stable Europe,61,58,59.5,4,,,,,2.7,,,,,56.7,353.8,-77,355,"1377,  T",refs from Torsvik+12
"Antrim Lava, Ireland",302,Stable Europe,63,59,61,5,,,,,6.3,,,,,55,354,-78.9,347,Ganer蒸d et al. (2010),refs from Torsvik+12
"Aix-en-Provence, France_ISCOR",302,Stable Europe,75,62,68.5,6,,,,,3.9,,,,,43.6,5.4,-84.9,222.9,Cojan and  Moreau (2006),refs from Torsvik+12
"Aix-en-Provence sediments, France",302,Stable Europe,83,60,71.5,7,,,,,8,,,,,43.5,5.5,-73,336,"2394,  T (2393)",refs from Torsvik+12
"Dagestan limstones, Caucasus",302,Stable Europe,97,74,85.5,5,,,,,3,,,,,42.6,46.7,-74,341,"3037,  T (6324)",refs from Torsvik+12
"Dagestan limstones, Caucasus",302,Stable Europe,97,74,85.5,5,,,,,3,,,,,42.4,46.9,-74,328,"3037,  T (6324)",refs from Torsvik+12
